Ticker,Name,Exchange,Category Name,Country
MOEX.ME,Public Joint-Stock Company Moscow Exchange MICEX-RTS,MCX,,Russia
HYDR.ME,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,MCX,,Russia
DIXY.ME,Public Joint Stock Company Dixy Group,MCX,,Russia
IDVP.ME,Public Joint Stock Company INVEST-DEVELOPMENT,MCX,,Russia
DZRDP.ME,Open Joint Stock Company Donskoy Factory of Radiocomponents,MCX,,Russia
VRSBP.ME,Public Joint Stock Company TNS energo Voronezh,MCX,,Russia
RUAL.ME,United Company RUSAL Plc,MCX,,Russia
OMSH.ME,"Public Joint Stock Company ""Omskshina""",MCX,,Russia
JNOS.ME,JSC Slavneft-YANOS,MCX,,Russia
CBOM.ME,Credit Bank of Moscow (public joint-stock company),MCX,,Russia
OFCB.ME,Public Joint-Stock Company Bank Otkritie Financial Corporation,MCX,,Russia
JNOSP.ME,JSC Slavneft-YANOS,MCX,,Russia
NKHP.ME,Public Joint Stock Company Novorossyisk Grain Plant,MCX,,Russia
KUBE.ME,Kuban Power and Electrification Open Joint Stock Company,MCX,,Russia
KROTP.ME,Joint-Stock Company Krasnyj Octyabr,MCX,,Russia
TGKO.ME,Taganrog Harverster Plant Open Joint-Stock Company,MCX,,Russia
KTSBP.ME,Public Joint Stock Company Kostroma Power Sale Company,MCX,,Russia
KTSB.ME,Public Joint Stock Company Kostroma Power Sale Company,MCX,,Russia
KRSB.ME,Public Joint Stock Company Krasnoyarskenergosbyt,MCX,,Russia
KRKO.ME,Public Joint Stock Company The Taganrog Boiler-Making Works Krasny Kotelshchik,MCX,,Russia
KMAZ.ME,KAMAZ Publicly Traded Company,MCX,,Russia
KLSB.ME,Kaluga Power Sale Company Public Joint-Stock Company,MCX,,Russia
KCHEP.ME,Public Joint Stock Company Kamchatskenergo,MCX,,Russia
KCHE.ME,Public Joint Stock Company Kamchatskenergo,MCX,,Russia
KBTK.ME,Public Joint Stock Company Kuzbasskaya Toplivnaya Company,MCX,,Russia
HIMC.ME,Khimprom Public joint stock company,MCX,,Russia
MSNG.ME,Public Joint Stock Company Mosenergo,MCX,,Russia
MRKZ.ME,Public Joint-Stock Company Interregional Distribution Grid Company of the North-West,MCX,,Russia
MOTZ.ME,Public Joint Stock Company Motovilicha Plants,MCX,,Russia
MGNT.ME,Public Joint Stock Company Magnit,MCX,,Russia
NVTK.ME,PAO NOVATEK,MCX,,Russia
NSVZ.ME,Public Joint Stock Company Nauka-Telecom,MCX,,Russia
NMTP.ME,Public Joint Stock Company Novorossiysk Commercial Sea Port,MCX,,Russia
NLMK.ME,Novolipetsk Steel,MCX,,Russia
ODVA.ME,Public Joint-Stock Company Mediaholding,MCX,,Russia
PRIN.ME,OAO Proektnie Investitsii,MCX,,Russia
OMZZP.ME,Open Joint Stock Company OMZ,MCX,,Russia
ZMZNP.ME,PAO Zawolzhsky Motorny Zawod,MCX,,Russia
QIWI.ME,Qiwi plc,MCX,,Russia
VLHZ.ME,Public Joint Stock Company Vladimir Chemical Plant,MCX,,Russia
URKA.ME,Public Joint Stock Company Uralkali,MCX,,Russia
SKYC.ME,SkyComputing,MCX,,Russia
SBER.ME,Sberbank of Russia,MCX,,Russia
ROSN.ME,Public Joint Stock Company Rosneft Oil Company,MCX,,Russia
RASP.ME,Public Joint Stock Company Raspadskaya,MCX,,Russia
PHOR.ME,PJSC PhosAgro,MCX,,Russia
GAZP.ME,Public Joint Stock Company Gazprom,MCX,,Russia
ALNU.ME,Public Joint Stock Company ALROSA-Nurba,MCX,,Russia
AFLT.ME,Public Joint Stock Company Aeroflot - Russian Airlines,MCX,,Russia
AFKS.ME,Sistema Public Joint Stock Financial Corporation,MCX,,Russia
ZMZN.ME,PAO Zawolzhsky Motorny Zawod,MCX,,Russia
ZHIV.ME,Live Office OJSC,MCX,,Russia
YRSL.ME,Public Joint-Stock Company Bank VVB,MCX,,Russia
YRSB.ME,Public Joint Stock Company TNS Energo Yaroslavl,MCX,,Russia
YASH.ME,Public Joint-Stock Company Orders of Lenin and October Revolution Yaroslavl Tyre Plant,MCX,,Russia
YAKG.ME,Yakut Fuel Energy Company Open Joint-Stock Company,MCX,,Russia
VSYD.ME,Public joint-stock company Vyborg Shipyard,MCX,,Russia
VJGZP.ME,Public Joint Stock Company Varyoganneftegaz,MCX,,Russia
VJGZ.ME,Public Joint Stock Company Varyoganneftegaz,MCX,,Russia
VGSBP.ME,Public Joint-Stock Company Volgogradenergosbyt,MCX,,Russia
URKZ.ME,Urals Stampings Plant PAO,MCX,,Russia
URFD.ME,United Reserve Funds Assets Management Corporation,MCX,,Russia
TTLK.ME,Public Joint Stock Company Tattelecom,MCX,,Russia
TRMK.ME,PAO TMK,MCX,,Russia
SZPR.ME,Public Joint-Stock North-Western Shipping Company,MCX,,Russia
STSBP.ME,Stavropolenergosbyt Public Joint-Stock Company,MCX,,Russia
SIBN.ME,PJSC Gazprom Neft,MCX,,Russia
SELL.ME,OJSC Selestra,MCX,,Russia
SARE.ME,Public Joint-Stock Company Saratovenergo,MCX,,Russia
SAGOP.ME,Public Joint-Stock Energy and Electrification Company Samaraenergo,MCX,,Russia
SAGO.ME,Public Joint-Stock Energy and Electrification Company Samaraenergo,MCX,,Russia
VRSB.ME,Public Joint Stock Company TNS energo Voronezh,MCX,,Russia
VRAO.ME,Public Joint Stock Company RAO Energy Systems of the East,MCX,,Russia
RU000A0JUSX7.ME,ISU-ViStd UK Fundament,MCX,,Russia
VSMO.ME,Public Stock Company VSMPO-AVISMA Corporation,MCX,,Russia
WTCMP.ME,"Joint Stock Company ""World Trade Center Moscow""",MCX,,Russia
YNDX.ME,Yandex N.V.,MCX,,Russia
YKEN.ME,Public joint stock company Yakutskenergo,MCX,,Russia
YKENP.ME,Public joint stock company Yakutskenergo,MCX,,Russia
YRSBP.ME,Public Joint Stock Company TNS Energo Yaroslavl,MCX,,Russia
ZILL.ME,Public Joint-Stock Company The Likhachov Plant,MCX,,Russia
ZVEZ.ME,Public Joint Stock Company Zvezda,MCX,,Russia
ABRD.ME,Public Joint Stock Company Abrau-Durso,MCX,,Russia
AESL.ME,Trading Industrial Group AESSEL,MCX,,Russia
AGRO.ME,Ros Agro PLC,MCX,,Russia
